suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,gather_exchange_sr,gather_exchange_nr,max_est_rows_sr,max_est_rows_nr,plan_gap_tags
tpc-ds,q49,8.10,6,6,3,5,3,1,6,3,3,0,9,9,14,8,10,8,3,0,8,11,360051,1394359,broadcast_more(+2);partitioned_less(-2);shuffle_less(-2);rf_probe_less(-3);rf_build_less(-3);agg_count_less(-6)
tpc-ds,q61,7.92,12,12,11,10,0,1,11,10,6,9,13,13,8,4,0,2,12,0,4,12,2592364,2257066,rf_build_less(-1);agg_count_less(-4)
tpc-ds,q54,7.90,9,9,5,7,1,0,7,8,9,6,11,11,11,5,6,0,7,0,4,11,2592364,2626419,broadcast_more(+2);partitioned_less(-1);shuffle_less(-6);rf_probe_less(-3);agg_count_less(-6)
tpc-ds,q33,7.61,12,12,9,9,3,3,12,9,6,9,15,15,16,7,10,9,9,0,2,10,2513323,2363586,shuffle_less(-1);rf_build_less(-3);agg_count_less(-9)
tpc-ds,q65,7.55,5,5,4,3,0,0,5,5,4,2,6,6,12,6,4,3,4,0,2,6,2592364,2626150,shuffle_less(-1);rf_probe_less(-2);agg_count_less(-6)
tpc-ds,q27,7.52,4,4,3,4,1,0,4,4,2,4,5,5,4,2,3,1,3,0,2,5,7777091,2257109,broadcast_more(+1);partitioned_less(-1);shuffle_less(-2);agg_count_less(-2)
tpc-ds,q35,7.24,7,7,4,6,2,1,7,7,7,6,9,9,4,2,6,3,4,0,2,7,2513323,2626419,broadcast_more(+2);partitioned_less(-1);shuffle_less(-3);rf_probe_less(-1);agg_count_less(-2)
tpc-ds,q13,7.16,5,5,4,5,1,0,5,5,2,5,6,6,4,2,2,0,4,0,1,6,2880404,182421,broadcast_more(+1);partitioned_less(-1);shuffle_less(-2);agg_count_less(-2)
tpc-ds,q76,6.93,6,6,2,6,4,0,6,6,6,6,9,9,4,2,9,1,2,0,2,7,497939,111745,broadcast_more(+4);partitioned_less(-4);shuffle_less(-8);agg_count_less(-2)
tpc-ds,q5,6.89,7,7,6,6,1,1,7,8,14,0,13,13,16,8,6,6,6,0,2,7,4174476,3167918,rf_probe_less(-14);agg_count_less(-8)
tpc-ds,q72,6.79,10,10,8,9,2,1,8,9,6,5,11,11,4,2,5,3,8,0,2,10,10570500,8562105,broadcast_more(+1);partitioned_less(-1);shuffle_less(-2);rf_probe_less(-1);agg_count_less(-2)
tpc-ds,q60,6.67,12,12,9,9,3,3,12,9,6,9,15,15,16,7,10,9,9,0,2,10,2513323,2363586,shuffle_less(-1);rf_build_less(-3);agg_count_less(-9)
tpc-ds,q56,6.53,12,12,9,9,3,3,12,9,6,9,15,15,16,7,10,9,9,0,2,10,2513323,2363586,shuffle_less(-1);rf_build_less(-3);agg_count_less(-9)
tpc-ds,q58,6.45,14,14,12,14,0,0,14,14,16,11,15,15,12,6,3,3,12,0,5,15,2592364,2475280,broadcast_more(+2);rf_probe_less(-5);agg_count_less(-6)
tpc-ds,q71,6.35,5,5,5,5,0,0,5,5,6,4,8,8,4,2,1,1,5,0,2,6,4537202,2750311,rf_probe_less(-2);agg_count_less(-2)
tpc-ds,q12,6.20,2,2,2,2,0,0,2,2,1,2,3,3,4,2,2,2,2,0,2,3,647446,647276,agg_count_less(-2)
