suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,sort_topn_sr,sort_topn_nr,max_card_rows_sr,max_card_rows_nr,gap_tags
tpc-ds,q49,8.10,6,6,3,5,3,2,13,9,3,0,9,3,9,0,9,9,8,8,8,4,0,1394359,BroadcastJoin更多(+2);PartitionedJoin更少(-1);ShuffleExchange更少(-4);RFProbe更少(-9);RFBuild更少(-6)
tpc-ds,q61,7.92,11,12,11,10,0,1,0,2,12,1,11,10,13,9,13,13,4,4,1,1,0,2257066,RFProbe更少(-4);RFBuild更少(-1)
tpc-ds,q54,7.90,7,9,5,7,2,0,7,0,6,2,8,8,17,6,11,11,8,5,1,1,0,2626419,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-7);RFProbe更少(-11);Agg节点更少(-3)
tpc-ds,q33,7.61,12,12,9,9,3,6,11,9,9,0,12,9,12,9,15,15,8,7,1,1,0,2363586,ShuffleExchange更少(-2);RFProbe更少(-3);RFBuild更少(-3);Agg节点更少(-1)
tpc-ds,q65,7.55,5,5,4,3,1,1,4,3,4,0,5,5,10,2,6,6,6,6,1,1,0,2626150,ShuffleExchange更少(-1);RFProbe更少(-8)
tpc-ds,q27,7.52,4,4,3,4,1,0,3,1,3,0,4,4,6,4,5,5,2,2,2,1,0,2257109,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-2);RFProbe更少(-2)
tpc-ds,q35,7.24,7,7,4,6,3,3,6,3,4,1,7,7,9,6,9,9,2,2,2,1,0,2626419,BroadcastJoin更多(+2);ShuffleExchange更少(-3);RFProbe更少(-3)
tpc-ds,q13,7.16,5,5,4,5,1,0,3,0,4,3,5,5,9,5,6,6,2,2,0,0,0,182421,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-3);RFProbe更少(-4)
tpc-ds,q76,6.93,6,6,2,6,4,0,10,1,2,4,6,6,8,6,9,9,2,2,2,1,0,111745,BroadcastJoin更多(+4);PartitionedJoin更少(-4);ShuffleExchange更少(-9);RFProbe更少(-2)
tpc-ds,q5,6.89,7,7,6,6,1,1,7,6,6,0,8,8,26,0,13,13,8,8,1,1,0,3167918,ShuffleExchange更少(-1);RFProbe更少(-26)
