suite,case,step,rank_in_query,node_id,operator,act_rows,act_time,act_time_sec,peak,indent,result_path
tpc-ds,q14,1,1,6,"HASH JOIN (BROADCAST, INNER, eq: [ss_item_sk = iss.i_item_sk])",2804311,410.8ms,0.4108,17.5MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,1,2,15,"HASH JOIN (BROADCAST, INNER, eq: [cs_item_sk = ics.i_item_sk])",1488368,351.7ms,0.3517,18.4MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,1,3,85,"HASH JOIN (BROADCAST, INNER, eq: [cs_item_sk = i_item_sk])",507017,321.0ms,0.321,18.1MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,1,4,54,HASH AGGREGATE (LOCAL),12,248.1ms,0.2481,1.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,1,5,110,"HASH JOIN (BROADCAST, INNER, eq: [ws_item_sk = i_item_sk])",501758,223.0ms,0.223,21.4MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,2,1,95,"HASH JOIN (BROADCAST, INNER, eq: [ss_sold_date_sk = d_date_sk])",2958410,348.4ms,0.3484,49.0MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,2,2,92,"HASH JOIN (BROADCAST, INNER, eq: [ss_item_sk = i_item_sk])",2793056,236.8ms,0.2368,21.5MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,2,3,61,"HASH JOIN (BROADCAST, INNER, eq: [ss_item_sk = i_item_sk])",2793056,211.1ms,0.2111,20.0MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,2,4,64,"HASH JOIN (BROADCAST, INNER, eq: [ss_sold_date_sk = d_date_sk])",2958410,164.9ms,0.1649,47.5MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,2,5,6,"HASH JOIN (BROADCAST, INNER, eq: [ss_item_sk = iss.i_item_sk])",2804311,154.2ms,0.1542,18.9MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q15,1,1,7,"HASH JOIN (BROADCAST, INNER, eq: [c_current_addr_sk = ca_address_sk])",265520,400.8ms,0.4008,32.4MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q15.result
tpc-ds,q15,1,2,4,"HASH JOIN (BROADCAST, INNER, eq: [cs_bill_customer_sk = c_customer_sk])",1730939,60.8ms,0.0608,61.9MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q15.result
tpc-ds,q15,1,3,10,"HASH JOIN (BROADCAST, INNER, eq: [cs_sold_date_sk = d_date_sk])",3616,3.0ms,0.003,221.6KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q15.result
tpc-ds,q15,1,4,11,"HASH AGGREGATE (LOCAL, group by: [ca_zip])",3623,1.2ms,0.0012,1.7MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q15.result
tpc-ds,q15,1,5,1,SCAN tpcds.catalog_sales,1430939,1.0ms,0.001,0B,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q15.result
tpc-ds,q16,1,1,15,"HASH JOIN (PARTITIONED, LEFT SEMI, eq: [cs1.cs_order_number = cs2.cs_order_number])",1446228,185.0ms,0.185,43.5MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q16.result
tpc-ds,q16,1,2,19,"HASH JOIN (BROADCAST, LEFT ANTI, eq: [cs1.cs_order_number = cr1.cr_order_number])",433034,147.9ms,0.1479,15.1MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q16.result
tpc-ds,q16,1,3,13,"PROJECT [cs2.cs_warehouse_sk AS cs_warehouse_sk, cs2.cs_order_number AS cs_order_number]",1441548,16.2ms,0.0162,12.5MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q16.result
tpc-ds,q16,1,4,4,"HASH JOIN (BROADCAST, INNER, eq: [cs1.cs_ship_date_sk = d_date_sk])",11352,7.2ms,0.0072,7.1MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q16.result
tpc-ds,q16,1,5,10,"HASH JOIN (BROADCAST, INNER, eq: [cs1.cs_call_center_sk = cc_call_center_sk])",2361,3.1ms,0.0031,2.6MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q16.result
tpc-ds,q17,1,1,12,"HASH JOIN (BROADCAST, INNER, eq: [ss_customer_sk = sr_customer_sk, ss_item_sk = sr_item_sk, ss_ticket_number = sr_ticket_number])",149138,232.8ms,0.2328,55.6MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q17.result
tpc-ds,q17,1,2,14,"HASH JOIN (BROADCAST, INNER, eq: [cs_bill_customer_sk = sr_customer_sk, cs_item_sk = sr_item_sk])",87564,150.3ms,0.1503,111.8MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q17.result
tpc-ds,q17,1,3,13,GATHER,87531,111.9ms,0.1119,0B,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q17.result
tpc-ds,q17,1,4,10,"HASH JOIN (BROADCAST, INNER, eq: [sr_returned_date_sk = d2.d_date_sk])",40809,57.1ms,0.0571,8.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q17.result
tpc-ds,q17,1,5,6,SCAN tpcds.store_sales,597180,34.7ms,0.0347,0B,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q17.result
tpc-ds,q18,1,1,8,"HASH JOIN (BROADCAST, INNER, eq: [cd2.cd_demo_sk = c_current_cdemo_sk])",27664,123.2ms,0.1232,23.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q18.result
tpc-ds,q18,1,2,21,"PROJECT [i_item_id, ca_country, ca_state, ca_county, cs_quantity, cs_list_price, cs_coupon_amt, cs_sales_price, cs_net_profit, c_birth_year, cd1.cd_dep_count AS cd_dep_count, i_item_id AS __repeat_group_key_0, ca_country AS __repeat_group_key_1, ca_state AS __repeat_group_key_2, ca_county AS __repeat_group_key_3]",1318,64.2ms,0.0642,85.4KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q18.result
tpc-ds,q18,1,3,17,"HASH JOIN (PARTITIONED, INNER, eq: [cs_bill_cdemo_sk = cd1.cd_demo_sk])",157859,55.8ms,0.0558,28.4MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q18.result
tpc-ds,q18,1,4,2,SCAN tpcds.customer_demographics (alias=cd2),267930,52.5ms,0.0525,0B,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q18.result
tpc-ds,q18,1,5,15,SCAN tpcds.customer_demographics (alias=cd1),137200,41.0ms,0.041,7.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q18.result
tpc-ds,q19,1,1,6,"HASH JOIN (BROADCAST, INNER, eq: [ss_item_sk = i_item_sk])",9203,25.7ms,0.0257,5.0MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q19.result
tpc-ds,q19,1,2,9,"HASH JOIN (BROADCAST, INNER, eq: [ss_sold_date_sk = d_date_sk])",1582,17.7ms,0.0177,2.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q19.result
tpc-ds,q19,1,3,11,"HASH JOIN (BROADCAST, INNER, eq: [c_customer_sk = ss_customer_sk])",5968,7.3ms,0.0073,7.6MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q19.result
tpc-ds,q19,1,4,17,"HASH AGGREGATE (LOCAL, group by: [brand, brand_id, i_manufact_id, i_manufact])",1747,5.9ms,0.0059,1.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q19.result
tpc-ds,q19,1,5,16,"HASH JOIN (BROADCAST, INNER, eq: [ss_store_sk = s_store_sk])",1483,4.4ms,0.0044,17.4KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q19.result
tpc-ds,q2,1,1,14,"HASH AGGREGATE (LOCAL, group by: [d_week_seq])",2154307,55.5ms,0.0555,8.5MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q2.result
tpc-ds,q2,1,2,13,"HASH JOIN (PARTITIONED, INNER, eq: [sold_date_sk = d_date_sk])",4380175,27.8ms,0.0278,16.1MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q2.result
tpc-ds,q2,1,3,8,"PROJECT [sold_date_sk, sales_price]",4314495,6.9ms,0.0069,4.4MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q2.result
tpc-ds,q2,1,4,4,"PROJECT [cs_sold_date_sk AS sold_date_sk, cs_ext_sales_price AS sales_price]",1441548,1.7ms,0.0017,3.5MB,10,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q2.result
tpc-ds,q2,1,5,5,UNION ALL,4321864,1.4ms,0.0014,1.3MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q2.result
tpc-ds,q20,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [cs_item_sk = i_item_sk])",440159,100.8ms,0.1008,26.6MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q20.result
tpc-ds,q20,1,2,1,SCAN tpcds.catalog_sales,1434368,19.9ms,0.0199,0B,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q20.result
tpc-ds,q20,1,3,7,"HASH JOIN (BROADCAST, INNER, eq: [cs_sold_date_sk = d_date_sk])",4177,7.3ms,0.0073,2.6MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q20.result
tpc-ds,q20,1,4,8,"HASH AGGREGATE (LOCAL, group by: [i_item_id, i_item_desc, i_category, i_class, i_current_price])",6187,5.5ms,0.0055,2.3MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q20.result
tpc-ds,q20,1,5,2,SCAN tpcds.item,5323,581.4us,0.0005814,4.7MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q20.result
tpc-ds,q21,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [inv_warehouse_sk = w_warehouse_sk])",11745015,87.7ms,0.0877,2.6MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q21.result
tpc-ds,q21,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [inv_item_sk = i_item_sk])",730162,25.6ms,0.0256,4.7MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q21.result
tpc-ds,q21,1,3,11,"PROJECT [inv_date_sk, inv_item_sk, inv_warehouse_sk, inv_quantity_on_hand, w_warehouse_sk, x.w_warehouse_name AS w_warehouse_name, i_item_sk, x.i_item_id AS i_item_id, i_current_price, d_date_sk, d_date, CAST('2000-03-11' AS Date32) AS __cse_0]",25155,8.7ms,0.0087,392.5KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q21.result
tpc-ds,q21,1,4,1,SCAN tpcds.inventory,11745000,5.6ms,0.0056,0B,10,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q21.result
tpc-ds,q21,1,5,12,"HASH AGGREGATE (LOCAL, group by: [x.w_warehouse_name, x.i_item_id])",30745,4.0ms,0.004,1.8MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q21.result
tpc-ds,q22,1,1,10,"HASH AGGREGATE (LOCAL, group by: [i_product_name, i_brand, i_class, i_category, __grouping_fn_0])",11807904,207.4ms,0.2074,33.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q22.result
tpc-ds,q22,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [inv_item_sk = i_item_sk])",2394000,35.3ms,0.0353,19.9MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q22.result
tpc-ds,q22,1,3,4,"HASH JOIN (BROADCAST, INNER, eq: [inv_date_sk = d_date_sk])",2341098,31.2ms,0.0312,5.4MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q22.result
tpc-ds,q22,1,4,8,"PROJECT [i_product_name, i_brand, i_class, i_category, inv_quantity_on_hand, i_product_name AS __repeat_group_key_0, i_brand AS __repeat_group_key_1, i_class AS __repeat_group_key_2, i_category AS __repeat_group_key_3]",2340000,13.4ms,0.0134,8.2MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q22.result
tpc-ds,q22,1,5,9,REPEAT (5 grouping sets),11700000,8.0ms,0.008,1.1MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q22.result
tpc-ds,q23,1,1,17,"HASH AGGREGATE (LOCAL, group by: [c_customer_sk])",2936196,391.6ms,0.3916,17.5MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,1,2,24,"HASH JOIN (BROADCAST, INNER, eq: [ss_customer_sk = c_customer_sk])",2985453,308.4ms,0.3084,59.4MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,1,3,28,"HASH AGGREGATE (LOCAL, group by: [c_customer_sk])",1734285,305.6ms,0.3056,12.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,1,4,8,"HASH AGGREGATE (LOCAL, group by: [substring(i_item_desc, 1, 30), item_sk, solddate])",3146718,253.8ms,0.2538,233.6MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,1,5,16,"HASH JOIN (BROADCAST, INNER, eq: [ss_customer_sk = c_customer_sk])",3050652,238.9ms,0.2389,60.0MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,2,1,69,"HASH JOIN (BROADCAST, INNER, eq: [ws_bill_customer_sk = c_customer_sk])",1019119,551.3ms,0.5513,68.0MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,2,2,17,"HASH AGGREGATE (LOCAL, group by: [c_customer_sk])",2936196,475.7ms,0.4757,17.5MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,2,3,46,"HASH JOIN (BROADCAST, INNER, eq: [cs_bill_customer_sk = c_customer_sk])",1730939,453.8ms,0.4538,67.1MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,2,4,24,"HASH JOIN (BROADCAST, INNER, eq: [ss_customer_sk = c_customer_sk])",2985453,417.0ms,0.417,61.4MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,2,5,28,"HASH AGGREGATE (LOCAL, group by: [c_customer_sk])",1734285,382.2ms,0.3822,12.6MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q24,1,1,12,"HASH JOIN (BROADCAST, INNER, eq: [ss_customer_sk = c_customer_sk, ss_store_sk = s_store_sk])",1293,23.5ms,0.0235,10.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,1,2,10,"HASH JOIN (BROADCAST, INNER, eq: [c_current_addr_sk = ca_address_sk])",616,12.5ms,0.0125,2.8MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,1,3,14,"HASH JOIN (BROADCAST, INNER, eq: [sr_ticket_number = ss_ticket_number, sr_item_sk = ss_item_sk])",1914,10.8ms,0.0108,6.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,1,4,13,GATHER,1845,5.4ms,0.0054,0B,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,1,5,17,"HASH AGGREGATE (LOCAL, group by: [c_last_name, c_first_name, s_store_name, ca_state, s_state, i_color, i_current_price, i_manager_id, i_units, i_size])",138,954.6us,0.0009546,1.4MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,2,1,10,"HASH JOIN (BROADCAST, INNER, eq: [c_current_addr_sk = ca_address_sk])",616,36.0ms,0.036,2.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,2,2,12,"HASH JOIN (BROADCAST, INNER, eq: [ss_customer_sk = c_customer_sk, ss_store_sk = s_store_sk])",1293,30.0ms,0.03,10.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,2,3,6,SCAN tpcds.store,3,5.6ms,0.0056,3.3KB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,2,4,3,SCAN tpcds.store_sales,460155,4.7ms,0.0047,0B,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,2,5,13,GATHER,1845,2.5ms,0.0025,0B,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q25,1,1,15,"HASH JOIN (PARTITIONED, INNER, eq: [ss_customer_sk = sr_customer_sk, ss_item_sk = sr_item_sk, ss_ticket_number = sr_ticket_number])",52817,71.7ms,0.0717,34.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q25.result
tpc-ds,q25,1,2,13,"HASH JOIN (BROADCAST, INNER, eq: [sr_returned_date_sk = d2.d_date_sk])",26133,34.8ms,0.0348,5.6MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q25.result
tpc-ds,q25,1,3,16,GATHER,5763,10.9ms,0.0109,0B,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q25.result
tpc-ds,q25,1,4,17,"HASH JOIN (BROADCAST, INNER, eq: [cs_bill_customer_sk = sr_customer_sk, cs_item_sk = sr_item_sk])",5765,9.5ms,0.0095,25.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q25.result
tpc-ds,q25,1,5,8,"HASH JOIN (BROADCAST, INNER, eq: [ss_sold_date_sk = d1.d_date_sk])",25495,6.4ms,0.0064,9.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q25.result
tpc-ds,q26,1,1,13,"HASH JOIN (BROADCAST, INNER, eq: [cs_item_sk = i_item_sk])",58032,26.6ms,0.0266,12.3MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q26.result
tpc-ds,q26,1,2,4,"HASH JOIN (BROADCAST, INNER, eq: [cs_bill_cdemo_sk = cd_demo_sk])",102541,26.6ms,0.0266,25.0MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q26.result
tpc-ds,q26,1,3,14,"HASH AGGREGATE (LOCAL, group by: [i_item_id])",7706,17.2ms,0.0172,2.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q26.result
tpc-ds,q26,1,4,2,SCAN tpcds.customer_demographics,27440,2.5ms,0.0025,4.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q26.result
tpc-ds,q26,1,5,10,"HASH JOIN (BROADCAST, INNER, eq: [cs_promo_sk = p_promo_sk])",4929,2.0ms,0.002,367.7KB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q26.result
tpc-ds,q27,1,1,14,"PROJECT [i_item_id, s_state, ss_quantity, ss_list_price, ss_coupon_amt, ss_sales_price, i_item_id AS __repeat_group_key_0, s_state AS __repeat_group_key_1]",7426,71.7ms,0.0717,26.5KB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q27.result
tpc-ds,q27,1,2,4,"HASH JOIN (BROADCAST, INNER, eq: [ss_cdemo_sk = cd_demo_sk])",120342,47.4ms,0.0474,24.7MB,12,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q27.result
tpc-ds,q27,1,3,16,"HASH AGGREGATE (LOCAL, group by: [i_item_id, s_state, __grouping_fn_0])",35253,24.3ms,0.0243,4.5MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q27.result
tpc-ds,q27,1,4,1,SCAN tpcds.store_sales,2652962,12.7ms,0.0127,0B,14,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q27.result
tpc-ds,q27,1,5,10,"HASH JOIN (BROADCAST, INNER, eq: [ss_item_sk = i_item_sk])",61426,9.5ms,0.0095,12.3MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q27.result
tpc-ds,q28,1,1,11,"HASH AGGREGATE (LOCAL, group by: [ss_list_price])",51185,6.3ms,0.0063,2.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q28.result
tpc-ds,q28,1,2,21,"HASH AGGREGATE (LOCAL, group by: [ss_list_price])",46362,5.5ms,0.0055,2.9MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q28.result
tpc-ds,q28,1,3,2,"HASH AGGREGATE (LOCAL, group by: [ss_list_price])",55624,5.5ms,0.0055,3.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q28.result
tpc-ds,q28,1,4,51,"HASH AGGREGATE (LOCAL, group by: [ss_list_price])",42489,5.3ms,0.0053,1.8MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q28.result
