suite,case,step,rank_in_query,node_id,operator,act_rows,act_time,act_time_sec,peak,indent,result_path
ssb,q2.2,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_partkey = p_partkey])",52053,60.4ms,0.0604,15.3MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.2.result
ssb,q2.2,1,3,11,"HASH AGGREGATE (LOCAL, group by: [d_year, p_brand])",10710,37.3ms,0.0373,1.7MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.2.result
ssb,q2.2,1,4,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",11889,22.5ms,0.0225,474.5KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.2.result
ssb,q2.2,1,5,1,SCAN ssb.lineorder,6001171,4.2ms,0.0042,0B,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.2.result
ssb,q2.3,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",6008839,79.9ms,0.0799,12.6MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.3.result
ssb,q2.3,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_partkey = p_partkey])",7145,39.4ms,0.0394,14.5MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.3.result
ssb,q2.3,1,3,11,"HASH AGGREGATE (LOCAL, group by: [d_year, p_brand])",1255,6.2ms,0.0062,1.7MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.3.result
ssb,q2.3,1,4,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",2374,4.3ms,0.0043,393.7KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.3.result
ssb,q2.3,1,5,1,SCAN ssb.lineorder,6001171,2.6ms,0.0026,0B,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.3.result
ssb,q3.1,1,1,11,"HASH AGGREGATE (LOCAL, group by: [c_nation, s_nation, d_year])",247214,209.3ms,0.2093,2.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.1.result
ssb,q3.1,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_custkey = c_custkey])",1118594,134.9ms,0.1349,18.3MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.1.result
ssb,q3.1,1,3,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",5472754,95.8ms,0.0958,12.3MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.1.result
ssb,q3.1,1,4,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",248111,61.9ms,0.0619,1.3MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.1.result
ssb,q3.1,1,5,1,SCAN ssb.lineorder,6001171,3.4ms,0.0034,0B,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.1.result
ssb,q3.2,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",5472754,66.6ms,0.0666,12.3MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.2.result
ssb,q3.2,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_custkey = c_custkey])",227937,28.3ms,0.0283,15.2MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.2.result
ssb,q3.2,1,3,1,SCAN ssb.lineorder,6001171,21.4ms,0.0214,0B,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.2.result
ssb,q3.2,1,4,11,"HASH AGGREGATE (LOCAL, group by: [c_city, s_city, d_year])",10325,21.3ms,0.0213,1.9MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.2.result
ssb,q3.2,1,5,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",8825,15.7ms,0.0157,312.9KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.2.result
ssb,q3.3,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",5472754,47.1ms,0.0471,12.3MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.3.result
ssb,q3.3,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_custkey = c_custkey])",46243,15.7ms,0.0157,14.5MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.3.result
ssb,q3.3,1,3,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",494,3.1ms,0.0031,98.0KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.3.result
ssb,q3.3,1,4,9,GATHER,57,2.0ms,0.002,0B,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.3.result
ssb,q3.3,1,5,11,"HASH AGGREGATE (LOCAL, group by: [c_city, s_city, d_year])",509,1.6ms,0.0016,1.8MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.3.result
ssb,q3.4,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",77544,11.5ms,0.0115,8.6MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.4.result
ssb,q3.4,1,2,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",64,9.2ms,0.0092,32.5KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.4.result
ssb,q3.4,1,3,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_custkey = c_custkey])",1416,964.5us,0.0009645,698.0KB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.4.result
ssb,q3.4,1,4,1,SCAN ssb.lineorder,6001171,449.2us,0.0004492,0B,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.4.result
ssb,q3.4,1,5,8,SCAN ssb.supplier,19,277.6us,0.0002776,11.4KB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.4.result
ssb,q4.1,1,1,14,"HASH AGGREGATE (LOCAL, group by: [d_year, c_nation])",90424,451.5ms,0.4515,1.9MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.1.result
ssb,q4.1,1,2,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_partkey = p_partkey])",2639872,219.5ms,0.2195,54.8MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.1.result
ssb,q4.1,1,3,13,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",97987,174.5ms,0.1745,2.4MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.1.result
ssb,q4.1,1,4,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",453969,149.8ms,0.1498,596.2KB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.1.result
ssb,q4.1,1,5,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_custkey = c_custkey])",108295,147.1ms,0.1471,3.9MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.1.result
ssb,q4.2,1,1,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",109948,175.4ms,0.1754,618.2KB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.2.result
ssb,q4.2,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_partkey = p_partkey])",816693,174.7ms,0.1747,56.2MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.2.result
