suite,case,status,elapsed_sec,log_path
tpc-ds,q54,PASS,7.90,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q33,PASS,7.61,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q65,PASS,7.55,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q27,PASS,7.52,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q35,PASS,7.24,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q13,PASS,7.16,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q76,PASS,6.93,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q5,PASS,6.89,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q72,PASS,6.79,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q60,PASS,6.67,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q56,PASS,6.53,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q58,PASS,6.45,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q71,PASS,6.35,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q12,PASS,6.20,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q8,PASS,6.10,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q18,PASS,5.86,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q77,PASS,5.78,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q11,PASS,5.68,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q48,PASS,5.57,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q16,PASS,5.55,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q46,PASS,5.53,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q66,PASS,5.52,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q38,PASS,5.42,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q68,PASS,5.37,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q7,PASS,5.35,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q10,PASS,5.32,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q97,PASS,5.22,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q34,PASS,5.20,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q50,PASS,5.19,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q87,PASS,5.11,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q26,PASS,4.96,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q79,PASS,4.94,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q69,PASS,4.83,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q67,PASS,4.79,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q93,PASS,4.58,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q85,PASS,4.39,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q31,PASS,4.34,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q19,PASS,4.31,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q74,PASS,4.21,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q73,PASS,4.10,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q32,PASS,4.07,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q95,PASS,3.92,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q99,PASS,3.85,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q6,PASS,3.71,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q36,PASS,3.70,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q40,PASS,3.65,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q15,PASS,3.55,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q81,PASS,3.28,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q39,PASS,3.13,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q43,PASS,2.92,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q59,PASS,2.87,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q3,PASS,2.85,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q96,PASS,2.81,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q42,PASS,2.75,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q94,PASS,2.67,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q2,PASS,2.49,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q52,PASS,2.39,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q90,PASS,2.36,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q55,PASS,2.36,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q45,PASS,2.21,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
