mode,threads,tasks,iterations_per_thread,work_us,ops,wall_ms,ops_per_sec,lock_wait_ms,lock_wait_ns_per_op
atomic_level_heads_packed,16,8,5000,0,80000,2.721,29399161.977,0.000,0.000
atomic_level_heads_padded,16,8,5000,0,80000,2.414,33134306.598,0.000,0.000
atomic_level_heads_per_worker,16,8,5000,0,80000,0.269,297306035.684,0.000,0.000
mutex_central,16,512,5000,50,80000,560.994,142603.989,2199.759,27496.983
atomic_central,16,512,5000,50,80000,559.116,143083.095,0.000,0.000
per_worker_local,16,512,5000,50,80000,543.237,147265.351,0.000,0.000
affinity_slot_upper_bound,16,512,5000,50,80000,545.846,146561.596,0.000,0.000
