mode,threads,tasks,iterations_per_thread,work_us,ops,wall_ms,ops_per_sec,lock_wait_ms,lock_wait_ns_per_op
atomic_level_heads_packed,16,8,5000,0,80000,5.850,13674825.637,0.000,0.000
atomic_level_heads_padded,16,8,5000,0,80000,2.414,33141169.784,0.000,0.000
atomic_level_heads_per_worker,16,8,5000,0,80000,0.330,242240726.722,0.000,0.000
mutex_central,16,512,5000,500,80000,4737.494,16886.565,1395.683,17446.033
atomic_central,16,512,5000,500,80000,5192.269,15407.521,0.000,0.000
per_worker_local,16,512,5000,500,80000,4716.284,16962.506,0.000,0.000
affinity_slot_upper_bound,16,512,5000,500,80000,4753.778,16828.722,0.000,0.000
