mode,threads,tasks,iterations_per_thread,work_us,ops,wall_ms,ops_per_sec,lock_wait_ms,lock_wait_ns_per_op
atomic_level_heads_packed,16,8,5000,0,80000,2.957,27054822.201,0.000,0.000
atomic_level_heads_padded,16,8,5000,0,80000,2.265,35322692.667,0.000,0.000
atomic_level_heads_per_worker,16,8,5000,0,80000,0.308,259880325.110,0.000,0.000
mutex_central,16,512,5000,0,80000,23.251,3440706.012,236.983,2962.286
atomic_central,16,512,5000,0,80000,63.035,1269143.744,0.000,0.000
per_worker_local,16,512,5000,0,80000,0.332,241175246.979,0.000,0.000
affinity_slot_upper_bound,16,512,5000,0,80000,0.423,189069423.929,0.000,0.000
